locatedInCR(afghanistan,asia) 0.294884 1
neighborOf(new_zealand,nepal) 0.134319 5
neighborOf(new_zealand,mongolia) 0.133403 6
neighborOf(new_zealand,ethiopia) 0.131678 7
neighborOf(new_zealand,tanzania) 0.129748 8
neighborOf(new_zealand,swaziland) 0.129479 9
neighborOf(new_zealand,iran) 0.128762 10
neighborOf(nicaragua,suriname) 0.167091 3
neighborOf(nicaragua,brazil) 0.143585 4
neighborOf(nicaragua,uruguay) 0.138024 5
neighborOf(nicaragua,el_salvador) 0.137700 6
neighborOf(nicaragua,colombia) 0.133878 7
neighborOf(nicaragua,south_africa) 0.127874 8
neighborOf(nicaragua,mozambique) 0.122432 9
neighborOf(nicaragua,spain) 0.118983 10
neighborOf(niger,senegal) 0.385631 8
neighborOf(niger,mauritania) 0.366521 9
neighborOf(niger,ivory_coast) 0.354371 10
neighborOf(nigeria,mali) 0.360650 5
neighborOf(nigeria,burkina_faso) 0.314137 6
neighborOf(nigeria,central_african_republic) 0.299774 7
neighborOf(nigeria,senegal) 0.290831 8
neighborOf(nigeria,algeria) 0.278506 9
neighborOf(nigeria,guinea) 0.275448 10
neighborOf(niue,myanmar) 0.123900 1
neighborOf(niue,senegal) 0.119811 2
neighborOf(niue,estonia) 0.116596 3
neighborOf(niue,austria) 0.114025 4
neighborOf(niue,germany) 0.111833 5
neighborOf(niue,china) 0.111469 6
neighborOf(niue,kuwait) 0.108929 7
neighborOf(niue,poland) 0.108075 8
neighborOf(niue,india) 0.105388 9
neighborOf(niue,belarus) 0.103257 10
neighborOf(norfolk_island,india) 0.171954 1
neighborOf(norfolk_island,china) 0.152703 2
neighborOf(norfolk_island,myanmar) 0.149710 3
neighborOf(norfolk_island,tanzania) 0.136935 4
neighborOf(norfolk_island,el_salvador) 0.134242 5
neighborOf(norfolk_island,pakistan) 0.133123 6
neighborOf(norfolk_island,republic_of_the_congo) 0.132738 7
neighborOf(norfolk_island,liberia) 0.130033 8
neighborOf(norfolk_island,mauritius) 0.128585 9
neighborOf(norfolk_island,panama) 0.125314 10
neighborOf(north_korea,belarus) 0.316537 4
neighborOf(north_korea,poland) 0.291518 5
neighborOf(north_korea,germany) 0.267906 6
neighborOf(north_korea,georgia) 0.259534 7
neighborOf(north_korea,lebanon) 0.243134 8
neighborOf(north_korea,france) 0.223248 9
neighborOf(north_korea,afghanistan) 0.215873 10
neighborOf(northern_mariana_islands,iran) 0.156061 1
neighborOf(northern_mariana_islands,austria) 0.153086 2
neighborOf(northern_mariana_islands,turkey) 0.149546 3
neighborOf(northern_mariana_islands,afghanistan) 0.144969 4
neighborOf(northern_mariana_islands,china) 0.134499 5
neighborOf(northern_mariana_islands,kazakhstan) 0.132388 6
neighborOf(northern_mariana_islands,uzbekistan) 0.131856 7
neighborOf(northern_mariana_islands,chad) 0.122691 8
neighborOf(northern_mariana_islands,poland) 0.116222 9
neighborOf(northern_mariana_islands,georgia) 0.115535 10
neighborOf(norway,latvia) 0.253353 4
neighborOf(norway,lithuania) 0.206173 5
neighborOf(norway,belarus) 0.202570 6
neighborOf(norway,poland) 0.174209 7
neighborOf(norway,china) 0.168750 8
neighborOf(norway,estonia) 0.166102 9
neighborOf(norway,ukraine) 0.162884 10
neighborOf(oman,turkey) 0.261305 4
neighborOf(oman,iraq) 0.260725 5
neighborOf(oman,syria) 0.257521 6
neighborOf(oman,kuwait) 0.249993 7
neighborOf(oman,georgia) 0.245176 8
neighborOf(oman,azerbaijan) 0.241511 9
neighborOf(oman,palestine) 0.227304 10
neighborOf(pakistan,myanmar) 0.394272 5
neighborOf(pakistan,tajikistan) 0.297415 6
neighborOf(pakistan,uzbekistan) 0.292434 7
neighborOf(pakistan,kazakhstan) 0.284408 8
neighborOf(pakistan,russia) 0.277222 9
neighborOf(pakistan,dr_congo) 0.255361 10
neighborOf(palau,south_sudan) 0.194949 1
neighborOf(palau,tanzania) 0.194663 2
neighborOf(palau,iran) 0.179298 3
neighborOf(palau,central_african_republic) 0.169437 4
neighborOf(palau,uganda) 0.159672 5
neighborOf(palau,saudi_arabia) 0.158006 6
neighborOf(palau,chad) 0.157792 7
neighborOf(palau,panama) 0.155765 8
neighborOf(palau,south_africa) 0.153815 9
neighborOf(palau,dr_congo) 0.149024 10
neighborOf(palestine,syria) 0.404936 4
neighborOf(palestine,lebanon) 0.371374 5
neighborOf(palestine,turkey) 0.298141 6
neighborOf(palestine,russia) 0.276373 7
neighborOf(palestine,iraq) 0.268243 8
neighborOf(palestine,nigeria) 0.248678 9
neighborOf(palestine,romania) 0.237054 10
neighborOf(panama,china) 0.242386 3
neighborOf(panama,belgium) 0.206581 4
neighborOf(panama,honduras) 0.188778 5
neighborOf(panama,ivory_coast) 0.181499 6
neighborOf(panama,brazil) 0.171587 7
neighborOf(panama,russia) 0.169780 8
neighborOf(panama,suriname) 0.169309 9
neighborOf(panama,spain) 0.167899 10
neighborOf(papua_new_guinea,ukraine) 0.143570 2
neighborOf(papua_new_guinea,austria) 0.140665 3
neighborOf(papua_new_guinea,bulgaria) 0.122742 4
neighborOf(papua_new_guinea,turkey) 0.122702 5
neighborOf(papua_new_guinea,germany) 0.117540 6
neighborOf(papua_new_guinea,france) 0.112505 7
neighborOf(papua_new_guinea,romania) 0.110905 8
neighborOf(papua_new_guinea,iran) 0.110838 9
neighborOf(papua_new_guinea,czechia) 0.110677 10
neighborOf(paraguay,peru) 0.371944 4
neighborOf(paraguay,colombia) 0.297962 5
neighborOf(paraguay,chile) 0.280303 6
neighborOf(paraguay,uruguay) 0.239459 7
neighborOf(paraguay,france) 0.226654 8
neighborOf(paraguay,kyrgyzstan) 0.219234 9
neighborOf(paraguay,suriname) 0.217161 10
neighborOf(peru,argentina) 0.399680 6
neighborOf(peru,paraguay) 0.380257 7
neighborOf(peru,uruguay) 0.326641 8
neighborOf(peru,venezuela) 0.289505 9
neighborOf(peru,mauritania) 0.244517 10
neighborOf(philippines,china) 0.288430 1
neighborOf(philippines,mongolia) 0.199531 2
neighborOf(philippines,albania) 0.182858 3
neighborOf(philippines,georgia) 0.175129 4
neighborOf(philippines,turkey) 0.148568 5
neighborOf(philippines,russia) 0.145604 6
neighborOf(philippines,laos) 0.142415 7
neighborOf(philippines,south_africa) 0.140588 8
neighborOf(philippines,north_korea) 0.139394 9
neighborOf(philippines,syria) 0.138798 10
neighborOf(pitcairn_islands,france) 0.185657 1
neighborOf(pitcairn_islands,austria) 0.171428 2
neighborOf(pitcairn_islands,luxembourg) 0.141579 3
neighborOf(pitcairn_islands,iran) 0.137031 4
neighborOf(pitcairn_islands,chad) 0.135458 5
neighborOf(pitcairn_islands,myanmar) 0.126190 6
neighborOf(pitcairn_islands,china) 0.125603 7
neighborOf(pitcairn_islands,india) 0.120864 8
neighborOf(pitcairn_islands,germany) 0.120159 9
neighborOf(pitcairn_islands,poland) 0.118888 10
neighborOf(poland,romania) 0.363557 8
neighborOf(poland,austria) 0.357777 9
neighborOf(poland,latvia) 0.330857 10
neighborOf(portugal,china) 0.225930 2
neighborOf(portugal,france) 0.217699 3
neighborOf(portugal,algeria) 0.198273 4
neighborOf(portugal,italy) 0.181758 5
neighborOf(portugal,palestine) 0.175498 6
neighborOf(portugal,chad) 0.170168 7
neighborOf(portugal,nigeria) 0.169940 8
neighborOf(portugal,india) 0.167878 9
neighborOf(portugal,mongolia) 0.167764 10
neighborOf(puerto_rico,kosovo) 0.165435 1
neighborOf(puerto_rico,pakistan) 0.136942 2
neighborOf(puerto_rico,russia) 0.130470 3
neighborOf(puerto_rico,ukraine) 0.128988 4
neighborOf(puerto_rico,brazil) 0.123863 5
neighborOf(puerto_rico,ivory_coast) 0.123535 6
neighborOf(puerto_rico,iraq) 0.118715 7
neighborOf(puerto_rico,latvia) 0.117216 8
neighborOf(puerto_rico,armenia) 0.113421 9
neighborOf(puerto_rico,swaziland) 0.113198 10
neighborOf(qatar,turkey) 0.204615 2
neighborOf(qatar,azerbaijan) 0.193753 3
neighborOf(qatar,syria) 0.182961 4
neighborOf(qatar,oman) 0.180023 5
neighborOf(qatar,iraq) 0.170195 6
neighborOf(qatar,china) 0.155793 7
neighborOf(qatar,georgia) 0.147132 8
neighborOf(qatar,armenia) 0.141111 9
neighborOf(qatar,afghanistan) 0.140816 10
neighborOf(republic_of_the_congo,chad) 0.397793 6
neighborOf(republic_of_the_congo,south_sudan) 0.357025 7
neighborOf(republic_of_the_congo,tanzania) 0.355131 8
neighborOf(republic_of_the_congo,zambia) 0.343810 9
neighborOf(republic_of_the_congo,equatorial_guinea) 0.295845 10
neighborOf(reunion,niger) 0.201507 1
neighborOf(reunion,sudan) 0.189734 2
neighborOf(reunion,zambia) 0.170732 3
neighborOf(reunion,south_sudan) 0.163557 4
neighborOf(reunion,kenya) 0.159518 5
neighborOf(reunion,benin) 0.158681 6
neighborOf(reunion,south_africa) 0.157821 7
neighborOf(reunion,mozambique) 0.151791 8
neighborOf(reunion,tanzania) 0.148281 9
neighborOf(reunion,mali) 0.145806 10
neighborOf(romania,poland) 0.366041 6
neighborOf(romania,macedonia) 0.350525 7
neighborOf(romania,croatia) 0.346535 8
neighborOf(romania,slovakia) 0.334668 9
neighborOf(romania,albania) 0.331848 10
neighborOf(rwanda,south_sudan) 0.316129 5
neighborOf(rwanda,angola) 0.294488 6
neighborOf(rwanda,zambia) 0.290922 7
neighborOf(rwanda,kenya) 0.290676 8
neighborOf(rwanda,malawi) 0.278455 9
neighborOf(rwanda,central_african_republic) 0.261856 10
neighborOf(saint_barthelemy,dr_congo) 0.134046 1
neighborOf(saint_barthelemy,argentina) 0.128483 2
neighborOf(saint_barthelemy,mali) 0.126991 3
neighborOf(saint_barthelemy,uganda) 0.122326 4
neighborOf(saint_barthelemy,niger) 0.120920 5
neighborOf(saint_barthelemy,ivory_coast) 0.117353 6
neighborOf(saint_barthelemy,russia) 0.108757 7
neighborOf(saint_barthelemy,dominican_republic) 0.108671 8
neighborOf(saint_barthelemy,bolivia) 0.106196 9
neighborOf(saint_barthelemy,somalia) 0.104156 10
neighborOf(saint_kitts_and_nevis,china) 0.158308 1
neighborOf(saint_kitts_and_nevis,pakistan) 0.149773 2
neighborOf(saint_kitts_and_nevis,nigeria) 0.149344 3
neighborOf(saint_kitts_and_nevis,hungary) 0.138073 4
neighborOf(saint_kitts_and_nevis,russia) 0.133090 5
neighborOf(saint_kitts_and_nevis,kosovo) 0.132439 6
neighborOf(saint_kitts_and_nevis,dominican_republic) 0.121474 7
neighborOf(saint_kitts_and_nevis,bhutan) 0.120210 8
neighborOf(saint_kitts_and_nevis,italy) 0.118594 9
neighborOf(saint_kitts_and_nevis,france) 0.118395 10
neighborOf(saint_lucia,turkey) 0.184009 1
neighborOf(saint_lucia,bolivia) 0.174791 2
neighborOf(saint_lucia,argentina) 0.166371 3
neighborOf(saint_lucia,kazakhstan) 0.164588 4
neighborOf(saint_lucia,brazil) 0.162243 5
neighborOf(saint_lucia,slovenia) 0.143103 6
neighborOf(saint_lucia,colombia) 0.142703 7
neighborOf(saint_lucia,russia) 0.138951 8
neighborOf(saint_lucia,ivory_coast) 0.138758 9
neighborOf(saint_lucia,georgia) 0.138193 10
neighborOf(saint_martin,russia) 0.215882 2
neighborOf(saint_martin,germany) 0.185411 3
neighborOf(saint_martin,brazil) 0.173475 4
neighborOf(saint_martin,poland) 0.162433 5
neighborOf(saint_martin,ukraine) 0.154577 6
neighborOf(saint_martin,bolivia) 0.150014 7
neighborOf(saint_martin,armenia) 0.137087 8
neighborOf(saint_martin,argentina) 0.135167 9
neighborOf(saint_martin,belarus) 0.134995 10
neighborOf(saint_pierre_and_miquelon,russia) 0.187750 1
neighborOf(saint_pierre_and_miquelon,turkey) 0.187486 2
neighborOf(saint_pierre_and_miquelon,china) 0.179127 3
neighborOf(saint_pierre_and_miquelon,hungary) 0.157375 4
neighborOf(saint_pierre_and_miquelon,kosovo) 0.145646 5
neighborOf(saint_pierre_and_miquelon,iraq) 0.145129 6
neighborOf(saint_pierre_and_miquelon,myanmar) 0.142310 7
neighborOf(saint_pierre_and_miquelon,albania) 0.141465 8
neighborOf(saint_pierre_and_miquelon,dominican_republic) 0.137376 9
neighborOf(saint_pierre_and_miquelon,sri_lanka) 0.137076 10
neighborOf(saint_vincent_and_the_grenadines,belarus) 0.178162 1
neighborOf(saint_vincent_and_the_grenadines,burkina_faso) 0.176406 2
neighborOf(saint_vincent_and_the_grenadines,niger) 0.161910 3
neighborOf(saint_vincent_and_the_grenadines,latvia) 0.153703 4
neighborOf(saint_vincent_and_the_grenadines,nigeria) 0.153694 5
neighborOf(saint_vincent_and_the_grenadines,poland) 0.153475 6
neighborOf(saint_vincent_and_the_grenadines,ukraine) 0.144857 7
neighborOf(saint_vincent_and_the_grenadines,hungary) 0.141206 8
neighborOf(saint_vincent_and_the_grenadines,italy) 0.138444 9
neighborOf(saint_vincent_and_the_grenadines,russia) 0.134477 10
neighborOf(samoa,central_african_republic) 0.173956 1
neighborOf(samoa,chad) 0.139957 2
neighborOf(samoa,afghanistan) 0.135560 3
neighborOf(samoa,iran) 0.131821 4
neighborOf(samoa,dr_congo) 0.131610 5
neighborOf(samoa,republic_of_the_congo) 0.129326 6
neighborOf(samoa,czechia) 0.127737 7
neighborOf(samoa,germany) 0.127464 8
neighborOf(samoa,burkina_faso) 0.124638 9
neighborOf(samoa,ivory_coast) 0.121902 10
neighborOf(san_marino,austria) 0.241826 2
neighborOf(san_marino,hungary) 0.220030 3
neighborOf(san_marino,france) 0.189163 4
neighborOf(san_marino,ukraine) 0.188996 5
neighborOf(san_marino,germany) 0.185320 6
neighborOf(san_marino,russia) 0.172820 7
neighborOf(san_marino,slovakia) 0.170402 8
neighborOf(san_marino,croatia) 0.165073 9
neighborOf(san_marino,switzerland) 0.164084 10
neighborOf(sao_tome_and_principe,cameroon) 0.230099 1
neighborOf(sao_tome_and_principe,serbia) 0.214186 2
neighborOf(sao_tome_and_principe,south_sudan) 0.211424 3
neighborOf(sao_tome_and_principe,mozambique) 0.200014 4
neighborOf(sao_tome_and_principe,tanzania) 0.195994 5
neighborOf(sao_tome_and_principe,ukraine) 0.195591 6
neighborOf(sao_tome_and_principe,zambia) 0.183283 7
neighborOf(sao_tome_and_principe,romania) 0.178800 8
neighborOf(sao_tome_and_principe,bulgaria) 0.178008 9
neighborOf(sao_tome_and_principe,dr_congo) 0.175205 10
neighborOf(saudi_arabia,iran) 0.335669 8
neighborOf(saudi_arabia,turkey) 0.326064 9
neighborOf(saudi_arabia,syria) 0.325619 10
neighborOf(senegal,niger) 0.400536 6
neighborOf(senegal,algeria) 0.338360 7
neighborOf(senegal,ivory_coast) 0.335067 8
neighborOf(senegal,liberia) 0.310076 9
neighborOf(senegal,burkina_faso) 0.308709 10
neighborOf(serbia,albania) 0.349055 9
neighborOf(serbia,greece) 0.348574 10
neighborOf(seychelles,zambia) 0.256750 1
neighborOf(seychelles,mozambique) 0.226494 2
neighborOf(seychelles,tanzania) 0.213516 3
neighborOf(seychelles,central_african_republic) 0.212119 4
neighborOf(seychelles,uganda) 0.198536 5
neighborOf(seychelles,dr_congo) 0.194935 6
neighborOf(seychelles,republic_of_the_congo) 0.181654 7
neighborOf(seychelles,cameroon) 0.181485 8
neighborOf(seychelles,rwanda) 0.181206 9
neighborOf(seychelles,south_sudan) 0.170800 10
neighborOf(sierra_leone,mali) 0.195360 3
neighborOf(sierra_leone,niger) 0.179006 4
neighborOf(sierra_leone,mauritania) 0.171872 5
neighborOf(sierra_leone,senegal) 0.170941 6
neighborOf(sierra_leone,algeria) 0.170656 7
neighborOf(sierra_leone,burkina_faso) 0.162494 8
neighborOf(sierra_leone,montenegro) 0.154618 9
neighborOf(sierra_leone,chad) 0.149885 10
neighborOf(singapore,china) 0.168230 1
neighborOf(singapore,dr_congo) 0.119687 2
neighborOf(singapore,south_sudan) 0.119534 3
neighborOf(singapore,romania) 0.114565 4
neighborOf(singapore,colombia) 0.113879 5
neighborOf(singapore,zambia) 0.112750 6
neighborOf(singapore,laos) 0.111416 7
neighborOf(singapore,namibia) 0.111406 8
neighborOf(singapore,uruguay) 0.106377 9
neighborOf(singapore,cameroon) 0.104341 10
neighborOf(sint_maarten,russia) 0.222996 2
neighborOf(sint_maarten,turkey) 0.157515 3
neighborOf(sint_maarten,germany) 0.150498 4
neighborOf(sint_maarten,argentina) 0.146498 5
neighborOf(sint_maarten,azerbaijan) 0.142686 6
neighborOf(sint_maarten,norway) 0.141062 7
neighborOf(sint_maarten,poland) 0.140217 8
neighborOf(sint_maarten,czechia) 0.137928 9
neighborOf(sint_maarten,belarus) 0.137058 10
neighborOf(slovakia,germany) 0.358425 6
neighborOf(slovakia,moldova) 0.351753 7
neighborOf(slovakia,italy) 0.335567 8
neighborOf(slovakia,romania) 0.334727 9
neighborOf(slovakia,belarus) 0.289503 10
neighborOf(slovenia,slovakia) 0.260888 5
neighborOf(slovenia,albania) 0.254560 6
neighborOf(slovenia,switzerland) 0.253531 7
neighborOf(slovenia,ukraine) 0.251780 8
neighborOf(slovenia,chad) 0.243308 9
neighborOf(slovenia,turkey) 0.243178 10
neighborOf(solomon_islands,afghanistan) 0.126643 1
neighborOf(solomon_islands,kazakhstan) 0.119733 2
neighborOf(solomon_islands,central_african_republic) 0.119009 3
neighborOf(solomon_islands,namibia) 0.116872 4
neighborOf(solomon_islands,china) 0.115521 5
neighborOf(solomon_islands,chad) 0.112749 6
neighborOf(solomon_islands,mozambique) 0.112469 7
neighborOf(solomon_islands,zambia) 0.110360 8
neighborOf(solomon_islands,russia) 0.107937 9
neighborOf(solomon_islands,pakistan) 0.104426 10
neighborOf(somalia,dr_congo) 0.350368 4
neighborOf(somalia,south_sudan) 0.306846 5
neighborOf(somalia,sudan) 0.263412 6
neighborOf(somalia,tanzania) 0.261317 7
neighborOf(somalia,rwanda) 0.220097 8
neighborOf(somalia,zambia) 0.217872 9
neighborOf(somalia,eritrea) 0.211112 10
neighborOf(south_africa,zambia) 0.413207 7
neighborOf(south_africa,tanzania) 0.297846 8
neighborOf(south_africa,malawi) 0.296485 9
neighborOf(south_africa,dr_congo) 0.277684 10
neighborOf(south_georgia,kazakhstan) 0.200584 1
neighborOf(south_georgia,russia) 0.196253 2
neighborOf(south_georgia,uzbekistan) 0.161867 3
neighborOf(south_georgia,serbia) 0.158497 4
neighborOf(south_georgia,afghanistan) 0.157937 5
neighborOf(south_georgia,azerbaijan) 0.157087 6
neighborOf(south_georgia,uruguay) 0.154265 7
neighborOf(south_georgia,bolivia) 0.150700 8
neighborOf(south_georgia,turkey) 0.148685 9
neighborOf(south_georgia,iran) 0.148588 10
neighborOf(south_korea,russia) 0.170886 2
neighborOf(south_korea,israel) 0.155726 3
neighborOf(south_korea,turkey) 0.152604 4
neighborOf(south_korea,czechia) 0.145480 5
neighborOf(south_korea,iraq) 0.144342 6
neighborOf(south_korea,brazil) 0.139939 7
neighborOf(south_korea,switzerland) 0.139380 8
neighborOf(south_korea,lithuania) 0.137593 9
neighborOf(south_korea,bhutan) 0.133209 10
neighborOf(south_sudan,zambia) 0.465195 8
neighborOf(south_sudan,burundi) 0.367818 9
neighborOf(south_sudan,republic_of_the_congo) 0.359785 10
neighborOf(spain,china) 0.272754 6
neighborOf(spain,belgium) 0.233635 7
neighborOf(spain,germany) 0.225621 8
neighborOf(spain,niger) 0.223542 9
neighborOf(spain,iran) 0.211420 10
neighborOf(sri_lanka,china) 0.158830 2
neighborOf(sri_lanka,myanmar) 0.157195 3
neighborOf(sri_lanka,russia) 0.149579 4
neighborOf(sri_lanka,laos) 0.147510 5
neighborOf(sri_lanka,saint_pierre_and_miquelon) 0.139630 6
neighborOf(sri_lanka,south_sudan) 0.127856 7
neighborOf(sri_lanka,mongolia) 0.123346 8
neighborOf(sri_lanka,armenia) 0.122397 9
neighborOf(sri_lanka,iran) 0.117971 10
neighborOf(sudan,algeria) 0.355514 8
neighborOf(sudan,niger) 0.308661 9
neighborOf(sudan,tunisia) 0.299164 10
neighborOf(suriname,russia) 0.278261 4
neighborOf(suriname,argentina) 0.268386 5
neighborOf(suriname,bolivia) 0.244075 6
neighborOf(suriname,peru) 0.218684 7
neighborOf(suriname,paraguay) 0.215998 8
neighborOf(suriname,central_african_republic) 0.213953 9
neighborOf(suriname,germany) 0.207787 10
neighborOf(svalbard_and_jan_mayen,russia) 0.200563 1
neighborOf(svalbard_and_jan_mayen,estonia) 0.184229 2
neighborOf(svalbard_and_jan_mayen,latvia) 0.160239 3
neighborOf(svalbard_and_jan_mayen,central_african_republic) 0.154968 4
neighborOf(svalbard_and_jan_mayen,equatorial_guinea) 0.151339 5
neighborOf(svalbard_and_jan_mayen,iraq) 0.143074 6
neighborOf(svalbard_and_jan_mayen,belarus) 0.138393 7
neighborOf(svalbard_and_jan_mayen,libya) 0.138222 8
neighborOf(svalbard_and_jan_mayen,lithuania) 0.138214 9
neighborOf(svalbard_and_jan_mayen,india) 0.137751 10
neighborOf(swaziland,zambia) 0.287440 3
neighborOf(swaziland,russia) 0.233560 4
neighborOf(swaziland,lithuania) 0.231738 5
neighborOf(swaziland,latvia) 0.226144 6
neighborOf(swaziland,china) 0.198536 7
neighborOf(swaziland,india) 0.193048 8
neighborOf(swaziland,botswana) 0.189444 9
neighborOf(swaziland,iran) 0.180405 10
neighborOf(sweden,russia) 0.257096 3
neighborOf(sweden,estonia) 0.256880 4
neighborOf(sweden,ukraine) 0.213797 5
neighborOf(sweden,latvia) 0.180437 6
neighborOf(sweden,lithuania) 0.177533 7
neighborOf(sweden,poland) 0.176472 8
neighborOf(sweden,china) 0.168616 9
neighborOf(sweden,belarus) 0.153315 10
neighborOf(switzerland,belgium) 0.319594 6
neighborOf(switzerland,czechia) 0.305464 7
neighborOf(switzerland,china) 0.302218 8
neighborOf(switzerland,poland) 0.289229 9
neighborOf(switzerland,slovakia) 0.272020 10
neighborOf(syria,palestine) 0.392783 6
neighborOf(syria,iran) 0.368176 7
neighborOf(syria,georgia) 0.338646 8
neighborOf(syria,armenia) 0.337138 9
neighborOf(syria,azerbaijan) 0.327600 10
neighborOf(taiwan,french_guiana) 0.190666 1
neighborOf(taiwan,brazil) 0.178601 2
neighborOf(taiwan,china) 0.174199 3
neighborOf(taiwan,germany) 0.141839 4
neighborOf(taiwan,afghanistan) 0.131535 5
neighborOf(taiwan,serbia) 0.128914 6
neighborOf(taiwan,romania) 0.128172 7
neighborOf(taiwan,algeria) 0.125450 8
neighborOf(taiwan,south_sudan) 0.125201 9
neighborOf(taiwan,peru) 0.121585 10
neighborOf(tajikistan,kazakhstan) 0.417091 5
neighborOf(tajikistan,iran) 0.329963 6
neighborOf(tajikistan,pakistan) 0.293929 7
neighborOf(tajikistan,turkmenistan) 0.283912 8
neighborOf(tajikistan,myanmar) 0.270772 9
neighborOf(tajikistan,russia) 0.270361 10
neighborOf(tanzania,south_sudan) 0.349679 9
neighborOf(tanzania,republic_of_the_congo) 0.348516 10
neighborOf(thailand,china) 0.390830 5
neighborOf(thailand,vietnam) 0.279946 6
neighborOf(thailand,india) 0.279403 7
neighborOf(thailand,russia) 0.221998 8
neighborOf(thailand,france) 0.211641 9
neighborOf(thailand,pakistan) 0.197675 10
neighborOf(timor_leste,china) 0.093893 2
neighborOf(timor_leste,thailand) 0.091002 3
neighborOf(timor_leste,ethiopia) 0.090285 4
neighborOf(timor_leste,turkey) 0.088893 5
neighborOf(timor_leste,swaziland) 0.088168 6
neighborOf(timor_leste,ukraine) 0.084579 7
neighborOf(timor_leste,switzerland) 0.079221 8
neighborOf(timor_leste,kenya) 0.078088 9
neighborOf(timor_leste,iran) 0.077788 10
neighborOf(togo,niger) 0.306615 4
neighborOf(togo,mali) 0.299657 5
neighborOf(togo,ivory_coast) 0.270947 6
neighborOf(togo,guinea) 0.253595 7
neighborOf(togo,senegal) 0.215353 8
neighborOf(togo,chad) 0.203910 9
neighborOf(togo,liberia) 0.188788 10
neighborOf(tokelau,south_sudan) 0.147852 1
neighborOf(tokelau,france) 0.126524 2
neighborOf(tokelau,dr_congo) 0.124807 3
neighborOf(tokelau,pakistan) 0.118545 4
neighborOf(tokelau,chad) 0.118515 5
neighborOf(tokelau,germany) 0.118513 6
neighborOf(tokelau,central_african_republic) 0.116581 7
neighborOf(tokelau,liberia) 0.115900 8
neighborOf(tokelau,china) 0.113909 9
neighborOf(tokelau,poland) 0.111757 10
neighborOf(tonga,dr_congo) 0.158172 1
neighborOf(tonga,tanzania) 0.156722 2
neighborOf(tonga,andorra) 0.142379 3
neighborOf(tonga,germany) 0.126283 4
neighborOf(tonga,angola) 0.125691 5
neighborOf(tonga,iran) 0.123643 6
neighborOf(tonga,central_african_republic) 0.121815 7
neighborOf(tonga,south_sudan) 0.121611 8
neighborOf(tonga,ethiopia) 0.121028 9
neighborOf(tonga,falkland_islands) 0.120911 10
neighborOf(trinidad_and_tobago,poland) 0.143497 1
neighborOf(trinidad_and_tobago,russia) 0.142047 2
neighborOf(trinidad_and_tobago,zambia) 0.141257 3
neighborOf(trinidad_and_tobago,dominican_republic) 0.139394 4
neighborOf(trinidad_and_tobago,argentina) 0.130946 5
neighborOf(trinidad_and_tobago,ukraine) 0.129448 6
neighborOf(trinidad_and_tobago,colombia) 0.127958 7
neighborOf(trinidad_and_tobago,italy) 0.125984 8
neighborOf(trinidad_and_tobago,brazil) 0.122425 9
neighborOf(trinidad_and_tobago,uzbekistan) 0.122057 10
neighborOf(tunisia,niger) 0.324634 3
neighborOf(tunisia,sudan) 0.296929 4
neighborOf(tunisia,chad) 0.285206 5
neighborOf(tunisia,mali) 0.281020 6
neighborOf(tunisia,central_african_republic) 0.234424 7
neighborOf(tunisia,peru) 0.210685 8
neighborOf(tunisia,mauritania) 0.209031 9
neighborOf(tunisia,cameroon) 0.206135 10
neighborOf(turkey,jordan) 0.402513 9
neighborOf(turkey,israel) 0.351535 10
neighborOf(turkmenistan,tajikistan) 0.286517 5
neighborOf(turkmenistan,china) 0.276359 6
neighborOf(turkmenistan,russia) 0.249902 7
neighborOf(turkmenistan,georgia) 0.236312 8
neighborOf(turkmenistan,kyrgyzstan) 0.210539 9
neighborOf(turkmenistan,turkey) 0.209998 10
neighborOf(turks_and_caicos_islands,brazil) 0.184508 1
neighborOf(turks_and_caicos_islands,uruguay) 0.175042 2
neighborOf(turks_and_caicos_islands,paraguay) 0.164969 3
neighborOf(turks_and_caicos_islands,kazakhstan) 0.161537 4
neighborOf(turks_and_caicos_islands,armenia) 0.149894 5
neighborOf(turks_and_caicos_islands,algeria) 0.146707 6
neighborOf(turks_and_caicos_islands,peru) 0.146678 7
neighborOf(turks_and_caicos_islands,bolivia) 0.140429 8
neighborOf(turks_and_caicos_islands,azerbaijan) 0.138390 9
neighborOf(turks_and_caicos_islands,ivory_coast) 0.135652 10
neighborOf(tuvalu,china) 0.129714 1
neighborOf(tuvalu,ethiopia) 0.129683 2
neighborOf(tuvalu,mexico) 0.124831 3
neighborOf(tuvalu,central_african_republic) 0.120751 4
neighborOf(tuvalu,mauritius) 0.116675 5
neighborOf(tuvalu,honduras) 0.115491 6
neighborOf(tuvalu,el_salvador) 0.112684 7
neighborOf(tuvalu,luxembourg) 0.112067 8
neighborOf(tuvalu,india) 0.111235 9
neighborOf(tuvalu,kenya) 0.109242 10
neighborOf(uganda,zambia) 0.386974 6
neighborOf(uganda,burundi) 0.324807 7
neighborOf(uganda,central_african_republic) 0.323470 8
neighborOf(uganda,angola) 0.321338 9
neighborOf(uganda,ethiopia) 0.310665 10
neighborOf(ukraine,austria) 0.380558 8
neighborOf(ukraine,czechia) 0.355166 9
neighborOf(ukraine,mali) 0.304997 10
neighborOf(united_arab_emirates,iraq) 0.228927 3
neighborOf(united_arab_emirates,turkey) 0.201129 4
