process_of(experimental_model_of_disease,natural_phenomenon_or_process) 3
associated_with(mental_or_behavioral_dysfunction,clinical_attribute) 2
affects(pathologic_function,invertebrate) 3
affects(natural_phenomenon_or_process,experimental_model_of_disease) 3
isa(amino_acid_sequence,idea_or_concept) -1
diagnoses(professional_or_occupational_group,cell_or_molecular_dysfunction) 10
part_of(acquired_abnormality,mammal) 5
uses(age_group,intellectual_product) 5
result_of(organism_attribute,cell_function) 2
affects(hormone,experimental_model_of_disease) 2
produces(professional_society,regulation_or_law) -1
produces(gene_or_genome,eicosanoid) 10
affects(mental_process,mental_or_behavioral_dysfunction) 3
disrupts(receptor,physiologic_function) 5
occurs_in(mental_process,temporal_concept) -1
location_of(embryonic_structure,organ_or_tissue_function) 5
affects(biomedical_or_dental_material,organism_function) 2
performs(population_group,diagnostic_procedure) -1
affects(mental_or_behavioral_dysfunction,invertebrate) 2
result_of(injury_or_poisoning,individual_behavior) 3
disrupts(immunologic_factor,physiologic_function) 5
isa(physiologic_function,phenomenon_or_process) 5
location_of(organization,research_activity) -1
isa(vitamin,chemical_viewed_functionally) -1
measures(laboratory_procedure,element_ion_or_isotope) 5
associated_with(occupational_activity,anatomical_abnormality) 5
manifestation_of(anatomical_abnormality,neoplastic_process) 2
complicates(pharmacologic_substance,disease_or_syndrome) 3
location_of(acquired_abnormality,rickettsia_or_chlamydia) 5
interacts_with(lipid,chemical) 2
manifestation_of(laboratory_or_test_result,organism_function) 5
degree_of(cell_or_molecular_dysfunction,disease_or_syndrome) 1
isa(acquired_abnormality,anatomical_structure) -1
interacts_with(eicosanoid,antibiotic) 3
associated_with(hormone,virus) -1
result_of(pathologic_function,organ_or_tissue_function) 2
location_of(cell_component,pathologic_function) 2
affects(pathologic_function,biologic_function) 1
process_of(molecular_function,organ_or_tissue_function) 1
process_of(cell_function,reptile) 3
produces(body_part_organ_or_organ_component,enzyme) 5
exhibits(professional_or_occupational_group,social_behavior) 5
result_of(acquired_abnormality,disease_or_syndrome) 2
evaluation_of(finding,mental_or_behavioral_dysfunction) -1
analyzes(laboratory_procedure,body_substance) 5
result_of(cell_function,congenital_abnormality) 2
interacts_with(reptile,mammal) 3
causes(carbohydrate,pathologic_function) 5
disrupts(antibiotic,tissue) 5
part_of(cell_component,amphibian) 2
interacts_with(bird,organism) 3
causes(fungus,disease_or_syndrome) 5
process_of(biologic_function,archaeon) 3
associated_with(individual_behavior,occupation_or_discipline) -1
affects(neoplastic_process,mental_process) 3
affects(pharmacologic_substance,cell_or_molecular_dysfunction) 2
isa(governmental_or_regulatory_activity,activity) 2
affects(disease_or_syndrome,cell_function) 1
indicates(laboratory_or_test_result,mental_or_behavioral_dysfunction) -1
affects(diagnostic_procedure,disease_or_syndrome) 3
carries_out(health_care_related_organization,molecular_biology_research_technique) -1
causes(hazardous_or_poisonous_substance,congenital_abnormality) 5
complicates(pharmacologic_substance,molecular_function) 5
complicates(therapeutic_or_preventive_procedure,pathologic_function) -1
result_of(neoplastic_process,laboratory_procedure) 2
causes(research_device,acquired_abnormality) 5
affects(disease_or_syndrome,molecular_function) 2
prevents(pharmacologic_substance,mental_or_behavioral_dysfunction) 5
part_of(body_substance,body_part_organ_or_organ_component) -1
result_of(human_caused_phenomenon_or_process,pathologic_function) 1
manifestation_of(mental_or_behavioral_dysfunction,injury_or_poisoning) 3
result_of(mental_or_behavioral_dysfunction,natural_phenomenon_or_process) 3
disrupts(injury_or_poisoning,embryonic_structure) 5
result_of(environmental_effect_of_humans,molecular_function) 2
associated_with(molecular_biology_research_technique,injury_or_poisoning) 5
produces(experimental_model_of_disease,enzyme) 10
associated_with(individual_behavior,congenital_abnormality) 5
associated_with(biologically_active_substance,virus) -1
affects(anatomical_abnormality,fungus) 5
treats(professional_or_occupational_group,patient_or_disabled_group) -1
location_of(tissue,therapeutic_or_preventive_procedure) 5
measures(molecular_biology_research_technique,hormone) -1
produces(biologic_function,receptor) 5
location_of(body_location_or_region,neoplastic_process) 5
process_of(physiologic_function,bacterium) 3
interacts_with(patient_or_disabled_group,group) -1
complicates(enzyme,cell_function) 5
analyzes(diagnostic_procedure,nucleic_acid_nucleoside_or_nucleotide) -1
interacts_with(enzyme,vitamin) 3
affects(antibiotic,molecular_function) 2
affects(organ_or_tissue_function,invertebrate) 4
measures(laboratory_procedure,biologically_active_substance) 5
measures(research_activity,receptor) 5
disrupts(biologically_active_substance,gene_or_genome) 5
measurement_of(quantitative_concept,nucleotide_sequence) -1
part_of(cell_component,animal) 2
exhibits(reptile,individual_behavior) 5
diagnoses(sign_or_symptom,pathologic_function) -1
affects(lipid,pathologic_function) 2
measures(research_activity,physiologic_function) 5
issue_in(embryonic_structure,biomedical_occupation_or_discipline) -1
occurs_in(experimental_model_of_disease,age_group) 4
produces(body_part_organ_or_organ_component,receptor) 5
isa(element_ion_or_isotope,chemical) 5
issue_in(spatial_concept,occupation_or_discipline) -1
interacts_with(biologically_active_substance,receptor) 5
issue_in(mental_or_behavioral_dysfunction,biomedical_occupation_or_discipline) -1
affects(anatomical_abnormality,molecular_function) 3
causes(biomedical_or_dental_material,neoplastic_process) 5
assesses_effect_of(laboratory_procedure,neoplastic_process) -1
analyzes(diagnostic_procedure,carbohydrate) -1
isa(neoplastic_process,phenomenon_or_process) 2
interacts_with(organophosphorus_compound,chemical) 2
manifestation_of(cell_or_molecular_dysfunction,disease_or_syndrome) 2
affects(organ_or_tissue_function,physiologic_function) 1
interacts_with(plant,human) 2
part_of(cell_component,fish) 2
result_of(organism_function,anatomical_abnormality) 2
associated_with(population_group,cell_or_molecular_dysfunction) 5
associated_with(therapeutic_or_preventive_procedure,disease_or_syndrome) 7
causes(eicosanoid,injury_or_poisoning) 5
isa(self_help_or_relief_organization,entity) -1
affects(molecular_function,clinical_attribute) -1
affects(cell_or_molecular_dysfunction,molecular_function) 3
result_of(congenital_abnormality,acquired_abnormality) 1
complicates(mental_or_behavioral_dysfunction,neoplastic_process) 3
part_of(anatomical_structure,rickettsia_or_chlamydia) 5
isa(health_care_activity,event) 4
issue_in(congenital_abnormality,biomedical_occupation_or_discipline) -1
prevents(pharmacologic_substance,pathologic_function) 5
affects(organism_function,virus) 3
manifestation_of(sign_or_symptom,congenital_abnormality) 7
causes(manufactured_object,pathologic_function) 5
process_of(physiologic_function,biologic_function) 3
location_of(embryonic_structure,molecular_function) 5
diagnoses(professional_or_occupational_group,neoplastic_process) -1
associated_with(behavior,family_group) 10
performs(population_group,laboratory_procedure) 5
associated_with(neuroreactive_substance_or_biogenic_amine,virus) -1
part_of(fully_formed_anatomical_structure,alga) 5
measures(laboratory_procedure,neoplastic_process) 5
causes(neuroreactive_substance_or_biogenic_amine,acquired_abnormality) 5
interacts_with(indicator_reagent_or_diagnostic_aid,chemical) 3
affects(eicosanoid,genetic_function) 2
affects(eicosanoid,mental_or_behavioral_dysfunction) 2
produces(tissue,receptor) 5
process_of(cell_function,mental_process) 2
measurement_of(laboratory_or_test_result,chemical_viewed_structurally) -1
process_of(pathologic_function,organism_function) 1
isa(governmental_or_regulatory_activity,occupational_activity) 3
co-occurs_with(acquired_abnormality,anatomical_abnormality) -1
isa(neoplastic_process,biologic_function) 3
occurs_in(neoplastic_process,injury_or_poisoning) 3
affects(cell_function,animal) 2
affects(acquired_abnormality,organism_function) 3
affects(experimental_model_of_disease,physiologic_function) 2
result_of(disease_or_syndrome,social_behavior) 3
complicates(enzyme,anatomical_abnormality) 2
occurs_in(mental_or_behavioral_dysfunction,group) 2
part_of(tissue,bacterium) 5
process_of(natural_phenomenon_or_process,genetic_function) 1
location_of(tissue,pathologic_function) 5
interacts_with(eicosanoid,indicator_reagent_or_diagnostic_aid) 2
measures(laboratory_procedure,quantitative_concept) 5
causes(biologically_active_substance,neoplastic_process) 5
causes(invertebrate,cell_or_molecular_dysfunction) 5
manifestation_of(congenital_abnormality,cell_function) 2
isa(medical_device,physical_object) -1
process_of(mental_or_behavioral_dysfunction,physiologic_function) 4
occurs_in(anatomical_abnormality,professional_or_occupational_group) 5
produces(cell,body_substance) 5
location_of(cell_component,fungus) 5
process_of(disease_or_syndrome,human) 2
property_of(organism_attribute,amphibian) -1
causes(biologically_active_substance,congenital_abnormality) 5
isa(pathologic_function,natural_phenomenon_or_process) 3
location_of(cell_component,anatomical_abnormality) 3
interacts_with(pharmacologic_substance,enzyme) 2
manifestation_of(pathologic_function,experimental_model_of_disease) 1
measures(diagnostic_procedure,immunologic_factor) -1
associated_with(population_group,injury_or_poisoning) 5
affects(immunologic_factor,mental_or_behavioral_dysfunction) 2
interacts_with(lipid,steroid) 5
isa(daily_or_recreational_activity,activity) -1
issue_in(research_activity,occupation_or_discipline) -1
measures(laboratory_procedure,organophosphorus_compound) 5
affects(mental_process,archaeon) 2
affects(mental_process,animal) 2
exhibits(group,behavior) -1
result_of(organ_or_tissue_function,congenital_abnormality) 2
causes(substance,acquired_abnormality) 5
measurement_of(laboratory_or_test_result,enzyme) -1
interacts_with(neuroreactive_substance_or_biogenic_amine,indicator_reagent_or_diagnostic_aid) 2
associated_with(social_behavior,clinical_attribute) 5
affects(vitamin,experimental_model_of_disease) 2
interacts_with(age_group,patient_or_disabled_group) 3
affects(nucleic_acid_nucleoside_or_nucleotide,physiologic_function) 3
affects(cell_function,invertebrate) 2
measures(molecular_biology_research_technique,cell_or_molecular_dysfunction) 5
interacts_with(inorganic_chemical,pharmacologic_substance) 3
part_of(acquired_abnormality,fungus) 5
associated_with(finding,acquired_abnormality) 5
location_of(health_care_related_organization,occupational_activity) -1
location_of(acquired_abnormality,neoplastic_process) 3
affects(biologic_function,mental_process) 2
occurs_in(injury_or_poisoning,group) 3
result_of(physiologic_function,congenital_abnormality) 2
complicates(receptor,organ_or_tissue_function) 5
contains(fully_formed_anatomical_structure,body_substance) -1
process_of(mental_process,experimental_model_of_disease) 2
process_of(experimental_model_of_disease,human) 3
complicates(hormone,biologic_function) 5
diagnoses(sign_or_symptom,acquired_abnormality) -1
causes(pharmacologic_substance,congenital_abnormality) 5
associated_with(laboratory_or_test_result,acquired_abnormality) 5
affects(cell_component,organ_or_tissue_function) 4
consists_of(body_substance,nucleic_acid_nucleoside_or_nucleotide) -1
complicates(mental_or_behavioral_dysfunction,anatomical_abnormality) 2
manifestation_of(finding,acquired_abnormality) 3
disrupts(enzyme,tissue) 5
part_of(congenital_abnormality,alga) 5
affects(lipid,disease_or_syndrome) 2
part_of(gene_or_genome,cell) 3
prevents(antibiotic,cell_or_molecular_dysfunction) 5
affects(mental_or_behavioral_dysfunction,animal) 3
isa(organ_or_tissue_function,natural_phenomenon_or_process) -1
uses(group,research_device) 5
affects(chemical_viewed_structurally,neoplastic_process) 5
produces(cell_component,biologically_active_substance) 5
isa(gene_or_genome,physical_object) 2
result_of(cell_or_molecular_dysfunction,laboratory_procedure) 3
causes(eicosanoid,experimental_model_of_disease) 5
manifestation_of(laboratory_or_test_result,genetic_function) 2
isa(rickettsia_or_chlamydia,organism) -1
affects(physiologic_function,organism) 2
affects(health_care_activity,experimental_model_of_disease) 2
complicates(antibiotic,organism_function) 5
isa(bacterium,physical_object) -1
result_of(acquired_abnormality,organ_or_tissue_function) 2
location_of(embryonic_structure,disease_or_syndrome) 5
property_of(group_attribute,professional_or_occupational_group) -1
affects(pathologic_function,disease_or_syndrome) 3
affects(cell_or_molecular_dysfunction,vertebrate) 2
issue_in(virus,occupation_or_discipline) -1
manifestation_of(acquired_abnormality,molecular_function) 5
produces(group,regulation_or_law) 5
result_of(physiologic_function,cell_function) 2
affects(neoplastic_process,fish) 2
interacts_with(fungus,virus) 3
interacts_with(fungus,human) 5
location_of(tissue,mental_or_behavioral_dysfunction) 2
performs(professional_or_occupational_group,molecular_biology_research_technique) 5
affects(mental_or_behavioral_dysfunction,organism) 2
affects(cell_function,organism) 2
measurement_of(clinical_attribute,organ_or_tissue_function) -1
part_of(gene_or_genome,plant) 2
measures(diagnostic_procedure,antibiotic) 5
result_of(clinical_attribute,cell_or_molecular_dysfunction) 2
process_of(cell_function,organism) 2
process_of(cell_or_molecular_dysfunction,biologic_function) 2
measurement_of(laboratory_or_test_result,cell_function) -1
evaluation_of(finding,neoplastic_process) -1
process_of(cell_or_molecular_dysfunction,virus) 2
isa(cell_or_molecular_dysfunction,natural_phenomenon_or_process) 2
result_of(congenital_abnormality,environmental_effect_of_humans) 2
issue_in(molecular_function,occupation_or_discipline) -1
affects(steroid,neoplastic_process) 3
issue_in(hazardous_or_poisonous_substance,occupation_or_discipline) -1
interacts_with(chemical_viewed_structurally,enzyme) 2
produces(body_part_organ_or_organ_component,organic_chemical) -1
affects(mental_or_behavioral_dysfunction,alga) 3
result_of(environmental_effect_of_humans,organism_function) 3
associated_with(governmental_or_regulatory_activity,pathologic_function) 2
part_of(fully_formed_anatomical_structure,organism) 5
process_of(neoplastic_process,disease_or_syndrome) 2
interacts_with(nucleic_acid_nucleoside_or_nucleotide,neuroreactive_substance_or_biogenic_amine) 2
interacts_with(biomedical_or_dental_material,chemical) 2
result_of(environmental_effect_of_humans,genetic_function) 2
affects(health_care_activity,pathologic_function) 2
prevents(medical_device,cell_or_molecular_dysfunction) -1
causes(neuroreactive_substance_or_biogenic_amine,congenital_abnormality) 5
produces(organ_or_tissue_function,receptor) 5
associated_with(behavior,organism_attribute) 4
process_of(experimental_model_of_disease,pathologic_function) 1
interacts_with(bird,reptile) 3
affects(disease_or_syndrome,cell_or_molecular_dysfunction) 1
result_of(disease_or_syndrome,organ_or_tissue_function) 1
uses(professional_or_occupational_group,classification) -1
evaluation_of(sign_or_symptom,experimental_model_of_disease) -1
property_of(clinical_attribute,animal) -1
affects(physiologic_function,virus) 2
result_of(molecular_function,neoplastic_process) 1
result_of(cell_or_molecular_dysfunction,therapeutic_or_preventive_procedure) 2
affects(physiologic_function,archaeon) 2
associated_with(governmental_or_regulatory_activity,neoplastic_process) 2
uses(patient_or_disabled_group,clinical_drug) 5
associated_with(molecular_biology_research_technique,cell_or_molecular_dysfunction) 5
causes(inorganic_chemical,disease_or_syndrome) 5
result_of(neoplastic_process,natural_phenomenon_or_process) 2
affects(biologic_function,cell_or_molecular_dysfunction) 1
isa(body_substance,entity) -1
isa(eicosanoid,chemical_viewed_structurally) 2
interacts_with(steroid,hormone) 2
result_of(acquired_abnormality,behavior) 4
result_of(acquired_abnormality,biologic_function) 2
causes(research_device,disease_or_syndrome) 5
ingredient_of(biologically_active_substance,clinical_drug) -1
disrupts(pharmacologic_substance,tissue) 5
associated_with(individual_behavior,geographic_area) 5
produces(body_part_organ_or_organ_component,steroid) -1
part_of(cell_component,vertebrate) 4
affects(laboratory_procedure,cell_function) 3
complicates(hormone,mental_or_behavioral_dysfunction) 3
ingredient_of(substance,clinical_drug) -1
part_of(fully_formed_anatomical_structure,plant) 5
manifestation_of(finding,mental_or_behavioral_dysfunction) 2
disrupts(vitamin,genetic_function) 10
issue_in(disease_or_syndrome,occupation_or_discipline) -1
property_of(organism_attribute,fungus) -1
carries_out(health_care_related_organization,laboratory_procedure) 5
affects(chemical_viewed_functionally,biologic_function) 2
interacts_with(plant,bird) 3
affects(experimental_model_of_disease,cell_function) 1
produces(professional_or_occupational_group,intellectual_product) 5
interacts_with(virus,organism) 2
disrupts(hormone,tissue) 5
isa(organization,conceptual_entity) 5
process_of(neoplastic_process,cell_function) 2
affects(indicator_reagent_or_diagnostic_aid,genetic_function) 2
causes(carbohydrate,acquired_abnormality) 5
result_of(clinical_attribute,human_caused_phenomenon_or_process) 2
result_of(cell_or_molecular_dysfunction,mental_or_behavioral_dysfunction) 1
result_of(clinical_attribute,neoplastic_process) 2
issue_in(functional_concept,occupation_or_discipline) -1
associated_with(individual_behavior,pathologic_function) 4
causes(invertebrate,pathologic_function) 5
interacts_with(steroid,eicosanoid) 3
measures(laboratory_procedure,clinical_attribute) -1
interacts_with(hormone,immunologic_factor) 2
interacts_with(organophosphorus_compound,indicator_reagent_or_diagnostic_aid) 2
issue_in(group_attribute,occupation_or_discipline) -1
part_of(embryonic_structure,invertebrate) 5
result_of(disease_or_syndrome,cell_function) 2
location_of(body_part_organ_or_organ_component,disease_or_syndrome) 5
affects(immunologic_factor,physiologic_function) 3
disrupts(enzyme,gene_or_genome) 5
part_of(gene_or_genome,fish) 2
affects(eicosanoid,disease_or_syndrome) 2
ingredient_of(organic_chemical,clinical_drug) -1
result_of(clinical_attribute,experimental_model_of_disease) 2
associated_with(laboratory_procedure,mental_or_behavioral_dysfunction) 3
complicates(hormone,organ_or_tissue_function) 5
manifestation_of(pathologic_function,physiologic_function) 4
causes(nucleic_acid_nucleoside_or_nucleotide,neoplastic_process) 5
location_of(tissue,congenital_abnormality) 3
location_of(anatomical_abnormality,mental_or_behavioral_dysfunction) 3
affects(disease_or_syndrome,virus) 2
part_of(fully_formed_anatomical_structure,vertebrate) 5
associated_with(educational_activity,mental_or_behavioral_dysfunction) 5
affects(genetic_function,vertebrate) 3
isa(antibiotic,chemical_viewed_functionally) 3
affects(antibiotic,cell_or_molecular_dysfunction) 2
affects(chemical_viewed_functionally,experimental_model_of_disease) 2
isa(research_device,entity) -1
result_of(phenomenon_or_process,genetic_function) 1
process_of(organism_function,reptile) 3
affects(laboratory_procedure,pathologic_function) 2
co-occurs_with(pathologic_function,congenital_abnormality) -1
interacts_with(animal,vertebrate) 2
produces(pathologic_function,neuroreactive_substance_or_biogenic_amine) 5
carries_out(self_help_or_relief_organization,research_activity) 5
manifestation_of(clinical_attribute,cell_function) 5
isa(anatomical_abnormality,physical_object) 2
affects(physiologic_function,organ_or_tissue_function) 1
location_of(cell_component,rickettsia_or_chlamydia) 5
isa(inorganic_chemical,chemical_viewed_structurally) 5
affects(amino_acid_peptide_or_protein,cell_function) 2
result_of(mental_or_behavioral_dysfunction,physiologic_function) 2
affects(pathologic_function,neoplastic_process) 1
causes(manufactured_object,cell_or_molecular_dysfunction) 5
manifestation_of(anatomical_abnormality,experimental_model_of_disease) 2
isa(regulation_or_law,conceptual_entity) -1
measurement_of(laboratory_or_test_result,organism_function) -1
affects(therapeutic_or_preventive_procedure,genetic_function) 3
location_of(cell_component,diagnostic_procedure) 3
manifestation_of(finding,pathologic_function) 3
complicates(hazardous_or_poisonous_substance,cell_function) 5
affects(biologically_active_substance,mental_or_behavioral_dysfunction) 2
uses(professional_or_occupational_group,research_device) 5
location_of(professional_society,educational_activity) -1
property_of(amino_acid_sequence,gene_or_genome) -1
measures(molecular_biology_research_technique,element_ion_or_isotope) 5
affects(mental_or_behavioral_dysfunction,social_behavior) 6
measures(molecular_biology_research_technique,carbohydrate) -1
causes(element_ion_or_isotope,pathologic_function) 5
affects(health_care_activity,disease_or_syndrome) 2
process_of(disease_or_syndrome,physiologic_function) 2
affects(element_ion_or_isotope,mental_process) 4
manifestation_of(anatomical_abnormality,biologic_function) 5
manifestation_of(acquired_abnormality,organism_function) 5
affects(cell_function,biologic_function) 2
location_of(fully_formed_anatomical_structure,injury_or_poisoning) 5
interacts_with(vertebrate,archaeon) 5
causes(organophosphorus_compound,mental_or_behavioral_dysfunction) 5
interacts_with(chemical_viewed_functionally,biomedical_or_dental_material) 3
treats(medical_device,pathologic_function) -1
affects(hormone,molecular_function) 2
causes(immunologic_factor,injury_or_poisoning) 5
result_of(disease_or_syndrome,physiologic_function) 2
uses(age_group,manufactured_object) 5
interacts_with(carbohydrate,vitamin) 2
produces(population_group,clinical_drug) 5
affects(pharmacologic_substance,genetic_function) 2
result_of(pathologic_function,human_caused_phenomenon_or_process) 1
process_of(cell_or_molecular_dysfunction,mental_or_behavioral_dysfunction) 4
manifestation_of(mental_or_behavioral_dysfunction,mental_process) 4
process_of(experimental_model_of_disease,physiologic_function) 1
affects(hazardous_or_poisonous_substance,mental_or_behavioral_dysfunction) -1
isa(chemical,substance) 3
occurs_in(pathologic_function,mental_or_behavioral_dysfunction) 3
issue_in(body_space_or_junction,biomedical_occupation_or_discipline) 5
affects(nucleic_acid_nucleoside_or_nucleotide,natural_phenomenon_or_process) 2
manifestation_of(congenital_abnormality,cell_or_molecular_dysfunction) 2
location_of(fully_formed_anatomical_structure,mental_or_behavioral_dysfunction) 2
issue_in(pharmacologic_substance,biomedical_occupation_or_discipline) -1
affects(physiologic_function,vertebrate) 2
result_of(acquired_abnormality,health_care_activity) 2
affects(mental_process,bacterium) 2
affects(experimental_model_of_disease,molecular_function) 3
affects(neoplastic_process,amphibian) 2
degree_of(disease_or_syndrome,cell_or_molecular_dysfunction) 1
produces(biologic_function,immunologic_factor) 5
result_of(clinical_attribute,cell_function) 2
part_of(fully_formed_anatomical_structure,archaeon) 5
produces(cell,hormone) 5
complicates(vitamin,anatomical_abnormality) 2
produces(population_group,intellectual_product) 5
manifestation_of(organism_attribute,genetic_function) 5
complicates(vitamin,experimental_model_of_disease) 3
causes(biomedical_or_dental_material,experimental_model_of_disease) 5
issue_in(vitamin,biomedical_occupation_or_discipline) -1
complicates(antibiotic,mental_process) 5
associated_with(health_care_activity,pathologic_function) 5
affects(regulation_or_law,organization) -1
performs(population_group,educational_activity) 5
disrupts(hazardous_or_poisonous_substance,cell_component) 5
affects(genetic_function,organism_function) 2
causes(enzyme,acquired_abnormality) 5
issue_in(sign_or_symptom,biomedical_occupation_or_discipline) -1
part_of(acquired_abnormality,animal) 5
affects(genetic_function,experimental_model_of_disease) 2
result_of(human_caused_phenomenon_or_process,experimental_model_of_disease) 2
causes(research_device,anatomical_abnormality) 5
result_of(cell_or_molecular_dysfunction,congenital_abnormality) 2
location_of(body_space_or_junction,acquired_abnormality) 3
process_of(mental_process,genetic_function) 2
location_of(acquired_abnormality,pathologic_function) 3
isa(organophosphorus_compound,chemical) -1
complicates(hazardous_or_poisonous_substance,mental_process) 5
issue_in(neoplastic_process,occupation_or_discipline) -1
location_of(body_space_or_junction,cell_or_molecular_dysfunction) 5
process_of(organism_function,organism) 4
precedes(organ_or_tissue_function,genetic_function) 1
produces(cell_or_molecular_dysfunction,body_substance) 5
affects(inorganic_chemical,disease_or_syndrome) 2
process_of(cell_function,mental_or_behavioral_dysfunction) 3
part_of(embryonic_structure,virus) 2
interacts_with(animal,invertebrate) 3
affects(disease_or_syndrome,mammal) 2
isa(anatomical_abnormality,anatomical_structure) 3
affects(congenital_abnormality,bacterium) 5
causes(hazardous_or_poisonous_substance,experimental_model_of_disease) 5
part_of(cell,fungus) 3
process_of(mental_or_behavioral_dysfunction,organism_function) 2
location_of(cell,pathologic_function) 2
interacts_with(plant,amphibian) -1
location_of(body_location_or_region,physiologic_function) 5
isa(molecular_function,phenomenon_or_process) 2
isa(manufactured_object,physical_object) 5
disrupts(injury_or_poisoning,tissue) 5
measures(diagnostic_procedure,body_substance) 5
performs(group,molecular_biology_research_technique) 5
interacts_with(rickettsia_or_chlamydia,fish) 5
result_of(injury_or_poisoning,physiologic_function) 1
disrupts(hazardous_or_poisonous_substance,organ_or_tissue_function) 5
isa(inorganic_chemical,entity) 5
uses(diagnostic_procedure,manufactured_object) 5
issue_in(medical_device,biomedical_occupation_or_discipline) 5
affects(immunologic_factor,natural_phenomenon_or_process) 2
result_of(organism_attribute,environmental_effect_of_humans) 2
causes(immunologic_factor,cell_or_molecular_dysfunction) 5
process_of(organ_or_tissue_function,genetic_function) 2
interacts_with(carbohydrate,lipid) 3
interacts_with(neuroreactive_substance_or_biogenic_amine,enzyme) 3
disrupts(hormone,cell_function) 5
manifestation_of(disease_or_syndrome,experimental_model_of_disease) 3
affects(food,mental_process) 4
produces(group,manufactured_object) 5
isa(injury_or_poisoning,event) -1
interacts_with(vitamin,hazardous_or_poisonous_substance) 2
associated_with(disease_or_syndrome,organism_attribute) 5
affects(cell_component,mental_process) 4
affects(organism_function,bacterium) 2
location_of(body_space_or_junction,pathologic_function) 2
process_of(physiologic_function,mental_process) 1
isa(biologic_function,phenomenon_or_process) 3
result_of(disease_or_syndrome,health_care_activity) 2
isa(body_system,entity) -1
complicates(antibiotic,congenital_abnormality) 2
associated_with(occupational_activity,disease_or_syndrome) 5
process_of(pathologic_function,genetic_function) 2
process_of(neoplastic_process,fish) 4
issue_in(cell_or_molecular_dysfunction,biomedical_occupation_or_discipline) -1
complicates(receptor,cell_or_molecular_dysfunction) 3
issue_in(fully_formed_anatomical_structure,biomedical_occupation_or_discipline) -1
affects(disease_or_syndrome,organism) 2
process_of(disease_or_syndrome,invertebrate) 3
isa(amino_acid_peptide_or_protein,physical_object) 5
co-occurs_with(mental_process,physiologic_function) -1
isa(body_system,functional_concept) -1
causes(antibiotic,mental_or_behavioral_dysfunction) -1
result_of(mental_process,individual_behavior) 1
causes(clinical_drug,mental_or_behavioral_dysfunction) 5
measurement_of(clinical_attribute,organism_function) -1
disrupts(pharmacologic_substance,physiologic_function) 5
process_of(mental_process,archaeon) 2
affects(nucleic_acid_nucleoside_or_nucleotide,molecular_function) 2
affects(physiologic_function,mental_or_behavioral_dysfunction) 2
produces(mental_process,age_group) -1
causes(carbohydrate,anatomical_abnormality) 5
co-occurs_with(organ_or_tissue_function,cell_function) -1
location_of(embryonic_structure,biologic_function) 5
location_of(self_help_or_relief_organization,therapeutic_or_preventive_procedure) -1
affects(biomedical_or_dental_material,biologic_function) 3
associated_with(individual_behavior,population_group) 5
causes(body_substance,congenital_abnormality) 5
measures(laboratory_procedure,physiologic_function) 5
measurement_of(laboratory_or_test_result,physiologic_function) -1
isa(drug_delivery_device,physical_object) 5
affects(gene_or_genome,physiologic_function) 5
exhibits(human,individual_behavior) 5
complicates(experimental_model_of_disease,neoplastic_process) 3
disrupts(biologically_active_substance,cell) 5
result_of(molecular_function,disease_or_syndrome) 2
measures(research_activity,neuroreactive_substance_or_biogenic_amine) -1
causes(amino_acid_peptide_or_protein,neoplastic_process) 5
contains(body_space_or_junction,body_substance) -1
interacts_with(virus,bird) 3
property_of(group_attribute,family_group) -1
diagnoses(antibiotic,cell_or_molecular_dysfunction) 10
interacts_with(amino_acid_peptide_or_protein,indicator_reagent_or_diagnostic_aid) 2
occurs_in(disease_or_syndrome,patient_or_disabled_group) 5
affects(antibiotic,genetic_function) 2
disrupts(neuroreactive_substance_or_biogenic_amine,molecular_function) 5
process_of(molecular_function,fish) 4
complicates(mental_or_behavioral_dysfunction,cell_or_molecular_dysfunction) 3
affects(experimental_model_of_disease,bird) 2
process_of(neoplastic_process,rickettsia_or_chlamydia) 4
location_of(fully_formed_anatomical_structure,fungus) 5
isa(cell_or_molecular_dysfunction,pathologic_function) 3
produces(cell_component,organophosphorus_compound) 10
affects(organ_or_tissue_function,alga) 3
affects(experimental_model_of_disease,alga) 2
part_of(cell,plant) 3
produces(neoplastic_process,tissue) 8
issue_in(therapeutic_or_preventive_procedure,biomedical_occupation_or_discipline) -1
indicates(laboratory_or_test_result,cell_or_molecular_dysfunction) -1
result_of(mental_process,injury_or_poisoning) 2
result_of(anatomical_abnormality,environmental_effect_of_humans) 1
associated_with(laboratory_procedure,cell_or_molecular_dysfunction) 2
associated_with(mental_or_behavioral_dysfunction,cell_or_molecular_dysfunction) 2
affects(nucleic_acid_nucleoside_or_nucleotide,cell_or_molecular_dysfunction) 2
result_of(disease_or_syndrome,organism_function) 2
indicates(laboratory_or_test_result,acquired_abnormality) -1
occurs_in(cell_or_molecular_dysfunction,mental_or_behavioral_dysfunction) 3
location_of(tissue,physiologic_function) 5
process_of(genetic_function,molecular_function) 3
result_of(mental_or_behavioral_dysfunction,pathologic_function) 1
isa(organization,entity) 5
measures(laboratory_procedure,indicator_reagent_or_diagnostic_aid) 5
location_of(plant,immunologic_factor) 5
property_of(clinical_attribute,rickettsia_or_chlamydia) -1
measures(laboratory_procedure,cell_or_molecular_dysfunction) 5
assesses_effect_of(laboratory_procedure,hazardous_or_poisonous_substance) -1
affects(congenital_abnormality,virus) 4
